senderTs,senderMbps,receiverTs,receiverMbps
1.0,0.985,1.0,0.116
2.0,0.0,2.0,0.0232
3.0,0.0,3.0,0.0348
4.0,0.0,4.0,0.0463
5.0,0.0,5.0,0.0232
6.0,0.0,6.0,0.0463
7.0,1.22,7.0,0.0348
8.0,0.0,8.0,0.0695
9.0,0.0,9.0,0.0348
10.0,0.0,10.0,0.0695
11.0,0.0,11.0,0.116
12.0,0.0,12.0,0.139
13.0,0.0348,13.0,0.0579
14.0,0.88,14.0,0.104
15.0,0.0348,15.0,0.139
16.0,0.371,16.0,0.371
17.0,0.463,17.0,0.266
18.0,2.15,18.0,0.359
19.0,1.04,19.0,0.324
20.0,1.04,20.0,0.382
21.0,1.56,21.0,0.324
22.0,2.61,22.0,0.255
23.0,1.56,23.0,0.209
24.0,0.521,24.0,0.197
25.0,1.04,25.0,0.174
26.0,0.521,26.0,0.151
27.0,1.04,27.0,0.209
28.0,0.0,28.0,0.116
29.0,1.04,29.0,0.139
30.0,0.521,30.0,0.0695
31.0,1.04,31.0,0.0
32.0,0.0,32.0,0.0
33.0,0.521,33.0,0.0
34.0,0.521,34.0,0.0
35.0,0.0,35.0,0.0
36.0,0.0,36.0,0.0
37.0,0.0,37.0,0.0
38.0,0.0,38.0,0.0
39.0,0.0,39.0,0.0
40.0,0.0,40.0,0.0116
41.0,0.0,41.0,0.0
42.0,0.0,42.0,0.0
43.0,0.0,43.0,0.0
44.0,0.0,44.0,0.0
45.0,0.0,45.0,0.0
46.0,0.0,46.0,0.0463
47.0,0.0,47.0,0.0
48.0,0.0,48.0,0.0
49.0,0.521,49.0,0.0
50.0,0.0,50.0,0.0
51.0,0.0,51.0,0.0
52.0,0.0,52.0,0.0
53.0,0.0,53.0,0.0
54.0,0.0,54.0,0.0
55.0,0.0,55.0,0.0116
56.0,0.0,56.0,0.162
57.0,0.0,57.0,0.255
58.0,0.0,58.0,0.243
59.0,0.0,59.0,0.22
60.0,0.0,60.0,0.22
61.0,0.0,61.0,0.174
62.0,0.0,62.0,0.151
63.0,1.04,63.0,0.151
64.0,1.56,64.0,0.185
65.0,0.521,65.0,0.127
66.0,0.0,66.0,0.0
67.0,0.521,67.0,0.232
68.0,0.521,68.0,0.579
69.0,0.521,69.0,0.0
70.0,0.521,70.0,0.0
71.0,0.0,71.0,0.0
72.0,0.0,72.0,0.0348
73.0,0.521,73.0,0.0116
74.0,1.04,74.0,0.0
75.0,0.0,75.0,0.0
76.0,0.0,76.0,0.0
77.0,0.0,77.0,0.0
78.0,0.0,78.0,0.0
79.0,0.0,79.0,0.0
80.0,0.0,80.0,0.0
81.0,0.0,81.0,0.0
82.0,0.0,82.0,0.0
83.0,0.0,83.0,0.0
84.0,0.0,84.0,0.0
85.0,0.0,85.0,0.0
86.0,0.0,86.0,0.0695
87.0,0.0,87.0,0.255
88.0,0.0,88.0,0.197
89.0,0.0,89.0,0.151
90.0,0.0,90.0,0.162
91.0,0.0,91.0,0.209
92.0,0.0,92.0,0.185
93.0,0.0,93.0,0.162
94.0,0.0,94.0,0.0
95.0,0.0,95.0,0.0
96.0,0.0,96.0,0.0
97.0,0.0,97.0,0.0
98.0,0.0,98.0,0.0
99.0,0.521,99.0,0.0
100.0,0.0,100.0,0.0
101.0,0.521,101.0,0.0463
102.0,0.521,102.0,0.0
103.0,0.0,103.0,0.0
104.0,0.0,104.0,0.0
105.0,0.0,105.0,0.0
106.0,0.0,106.0,0.0
107.0,0.0,107.0,0.0
108.0,0.0,108.0,0.139
109.0,0.521,109.0,0.382
110.0,0.0,110.0,0.232
111.0,0.0,111.0,0.162
112.0,0.0,112.0,0.243
113.0,0.0,113.0,0.232
114.0,0.0,114.0,0.301
115.0,0.0,115.0,0.29
116.0,2.61,116.0,0.243
117.0,0.0,117.0,0.174
118.0,0.0,118.0,0.0
119.0,1.04,119.0,0.0
120.0,0.521,120.0,0.0927
121.0,0.521,121.0,0.22
122.0,0.521,122.0,0.243
123.0,0.0,123.0,0.197
124.0,0.0,124.0,0.174
125.0,0.0,125.0,0.162
126.0,0.521,126.0,0.139
127.0,0.521,127.0,0.162
128.0,0.0,128.0,0.116
129.0,0.521,129.0,0.232
130.0,0.0,130.0,0.0463
131.0,0.521,131.0,0.0
132.0,0.0,132.0,0.0
133.0,0.521,133.0,0.0
134.0,0.0,134.0,0.0
135.0,0.521,135.0,0.0
136.0,0.0,136.0,0.0
137.0,0.0,137.0,0.0
138.0,0.0,138.0,0.0
139.0,0.0,139.0,0.0
140.0,0.0,140.0,0.0
141.0,0.0,141.0,0.0116
142.0,0.0,142.0,0.0348
143.0,0.0,143.0,0.0
144.0,0.0,144.0,0.0
145.0,0.0,145.0,0.0
146.0,0.0,146.0,0.0
147.0,0.0,147.0,0.0
148.0,0.0,148.0,0.0
149.0,0.0,149.0,0.0
150.0,0.0,150.0,0.0
151.0,0.0,151.0,0.0
152.0,0.0,152.0,0.0463
153.0,0.0,153.0,0.151
154.0,0.0,154.0,0.116
155.0,0.0,155.0,0.0
156.0,0.0,156.0,0.0
157.0,0.0,157.0,0.0
158.0,0.0,158.0,0.0
159.0,0.0,159.0,0.0
160.0,0.0,160.0,0.0
161.0,0.0,161.0,0.0
162.0,0.0,162.0,0.0
163.0,0.521,163.0,0.0
164.0,0.0,164.0,0.0
165.0,0.0,165.0,0.0
166.0,0.0,166.0,0.0116
167.0,0.0,167.0,0.0232
168.0,0.0,168.0,0.0116
169.0,0.0,169.0,0.0
170.0,0.0,170.0,0.0
171.0,0.0,171.0,0.0
172.0,0.0,172.0,0.0
173.0,0.0,173.0,0.0
174.0,0.0,174.0,0.0
175.0,0.0,175.0,0.0
176.0,0.0,176.0,0.0
177.0,0.0,177.0,0.0
178.0,0.0,178.0,0.0
179.0,0.0,179.0,0.0811
180.0,0.0,180.0,0.162
181.0,0.0,181.0,0.139
182.0,0.0,182.0,0.151
183.0,0.0,183.0,0.151
184.0,0.0,184.0,0.127
185.0,0.0,185.0,0.104
186.0,0.0,186.0,0.0811
187.0,0.0,187.0,0.116
188.0,0.0,188.0,0.127
189.0,0.0,189.0,0.116
190.0,0.0,190.0,0.127
191.0,0.0,191.0,0.22
192.0,0.0,192.0,0.162
193.0,0.0,193.0,0.174
194.0,0.0,194.0,0.151
195.0,0.0,195.0,0.162
196.0,0.0,196.0,0.139
197.0,0.0,197.0,0.174
198.0,0.0,198.0,0.209
199.0,0.0,199.0,0.185
200.0,0.0,200.0,0.243
201.0,0.0,201.0,0.162
202.0,0.0,202.0,0.0927
203.0,0.0,203.0,0.243
204.0,0.0,204.0,0.301
205.0,0.0,205.0,0.324
206.0,0.521,206.0,0.371
207.0,0.0,207.0,0.336
208.0,0.521,208.0,0.209
209.0,0.0,209.0,0.0
210.0,0.521,210.0,0.0
211.0,0.0,211.0,0.0
212.0,0.521,212.0,0.0
213.0,0.0,213.0,0.0
214.0,1.04,214.0,0.0
215.0,2.09,215.0,0.0
216.0,0.0,216.0,0.0
217.0,0.0,217.0,0.0
218.0,0.0,218.0,0.0
219.0,0.0,219.0,0.0463
220.0,0.0,220.0,0.0
221.0,0.0,221.0,0.0
222.0,0.0,222.0,0.0
223.0,0.0,223.0,0.0
224.0,0.0,224.0,0.0927
225.0,0.0,225.0,0.116
226.0,0.0,226.0,0.116
227.0,0.0,227.0,0.0811
228.0,0.0,228.0,0.104
229.0,0.0,229.0,0.0927
230.0,0.0,230.0,0.116
231.0,0.0,231.0,0.104
232.0,0.0,232.0,0.0927
233.0,0.0,233.0,0.127
234.0,0.0,234.0,0.104
235.0,0.0,235.0,0.104
236.0,0.0,236.0,0.0811
237.0,0.0,237.0,0.0463
238.0,0.0,238.0,0.0463
239.0,0.0,239.0,0.0463
240.0,0.0,240.0,0.0579
241.0,0.0,241.0,0.0463
242.0,0.0,242.0,0.0579
243.0,0.521,243.0,0.0811
244.0,0.0,244.0,0.127
245.0,0.0,245.0,0.151
246.0,0.521,246.0,0.278
247.0,0.0,247.0,0.0232
248.0,0.0,248.0,0.0
249.0,0.521,249.0,0.0
250.0,0.0,250.0,0.0
251.0,0.521,251.0,0.0
252.0,0.0,252.0,0.0
253.0,0.0,253.0,0.0463
254.0,0.0,254.0,0.0
255.0,0.0,255.0,0.0
256.0,0.0,256.0,0.0
257.0,0.0,257.0,0.0
258.0,0.521,258.0,0.0
259.0,0.0,259.0,0.0
260.0,0.0,260.0,0.0
261.0,0.0,261.0,0.0
262.0,0.0,262.0,0.0
263.0,0.0,263.0,0.0348
264.0,0.0,264.0,0.0348
265.0,0.0,265.0,0.0579
266.0,0.0,266.0,0.0695
267.0,0.0,267.0,0.0811
268.0,0.0,268.0,0.0579
269.0,0.0,269.0,0.0
270.0,0.0,270.0,0.0
271.0,0.0,271.0,0.0
272.0,0.0,272.0,0.0
273.0,0.0,273.0,0.0
274.0,0.0,274.0,0.0
275.0,0.0,275.0,0.0
276.0,0.0,276.0,0.0
277.0,0.0,277.0,0.0
278.0,0.0,278.0,0.0
279.0,0.0,279.0,0.0
280.0,0.0,280.0,0.0232
281.0,0.0,281.0,0.0232
282.0,0.0,282.0,0.0
283.0,0.0,283.0,0.0
284.0,0.0,284.0,0.0
285.0,0.0,285.0,0.0
286.0,0.0,286.0,0.0
287.0,0.0,287.0,0.0
288.0,0.0,288.0,0.0348
289.0,0.0,289.0,0.0695
290.0,0.0,290.0,0.0811
291.0,0.0,291.0,0.127
292.0,0.0,292.0,0.139
293.0,0.0,293.0,0.127
294.0,0.0,294.0,0.104
295.0,0.0,295.0,0.127
296.0,0.0,296.0,0.151
297.0,0.0,297.0,0.209
298.0,0.0,298.0,0.266
299.0,0.0,299.0,0.209
300.0,0.0,300.0,0.185
301.0,0.0,301.0,0.162
302.0,0.521,302.0,0.174
